level1_code,level1_label_ru,level2_code,level2_label_ru,level3_code,level3_label_ru
1,Таласская,,,,
1,Таласская,4,ГПП Беш-Таш,,
1,Таласская,4,ГПП Беш-Таш,134, Зона заповедного режима
1,Таласская,4,ГПП Беш-Таш,256, Зона ограниченной хозяйственной деятельности
1,Таласская,4,ГПП Беш-Таш,58, Зона туристической и рекреационной деятельности
1,Таласская,4,ГПП Беш-Таш,122, Зона экологической стабилизации
1,Таласская,3,Лесхоз Бакай-Атинский,,
1,Таласская,3,Лесхоз Бакай-Атинский,12,им. С.Усонова Лесничество
1,Таласская,3,Лесхоз Бакай-Атинский,23,Кен-Аралское лесничество
1,Таласская,3,Лесхоз Бакай-Атинский,11,Кумуштакское Лесничество
2,Ошская,,,,
2,Ошская,71,ГПЗ Кулун-Ата,,
2,Ошская,71,ГПЗ Кулун-Ата,160, Буферная зона
2,Ошская,71,ГПЗ Кулун-Ата,82, Основная (ядро) зона
2,Ошская,71,ГПЗ Кулун-Ата,76, Охранная зона
2,Ошская,31,ГПП Кара-Шоро,,
2,Ошская,31,ГПП Кара-Шоро,197, Зона заповедного режима
2,Ошская,31,ГПП Кара-Шоро,172, Зона ограниченной хозяйственной деятельности
2,Ошская,31,ГПП Кара-Шоро,171, Зона туристической и рекреационной деятельности
2,Ошская,31,ГПП Кара-Шоро,169, Зона экологической стабилизации
2,Ошская,30,ГПП Кыргыз-Ата,,
2,Ошская,30,ГПП Кыргыз-Ата,176, Зона заповедного режима
2,Ошская,30,ГПП Кыргыз-Ата,177, Зона ограниченной хозяйственной деятельности
2,Ошская,30,ГПП Кыргыз-Ата,234, Зона туристической и рекреационной деятельности
2,Ошская,30,ГПП Кыргыз-Ата,178, Зона экологической стабилизации
2,Ошская,54,Лесничество Алайское,,
2,Ошская,54,Лесничество Алайское,269,Алайское Лесничество
2,Ошская,24,Лесхоз Узгенский,,
2,Ошская,24,Лесхоз Узгенский,2,Ак-Терекское лесничество
2,Ошская,24,Лесхоз Узгенский,5,Жазынское лесничество
2,Ошская,24,Лесхоз Узгенский,3,Кара-Шоринское лесничество
2,Ошская,24,Лесхоз Узгенский,6,Кольдукское лесничество
2,Ошская,24,Лесхоз Узгенский,1,Кызыл-Тоовское лесничество
2,Ошская,24,Лесхоз Узгенский,4,Мырза-Акинское лесничество
2,Ошская,24,Лесхоз Узгенский,7,Чангетское лесничество
3,Джалал-Абадская,,,,
3,Джалал-Абадская,56,ГБЗ Сары-Челек,,
3,Джалал-Абадская,56,ГБЗ Сары-Челек,95, Буферная зона
3,Джалал-Абадская,56,ГБЗ Сары-Челек,92, Основная (ядро) зона
3,Джалал-Абадская,56,ГБЗ Сары-Челек,96, Охранная зона
3,Джалал-Абадская,57,ГПЗ Беш-Арал,,
3,Джалал-Абадская,57,ГПЗ Беш-Арал,26, Буферная зона
3,Джалал-Абадская,57,ГПЗ Беш-Арал,239, Основная (ядро) зона
3,Джалал-Абадская,57,ГПЗ Беш-Арал,35, Охранная зона
3,Джалал-Абадская,74,ГПЗ Дашман,,
3,Джалал-Абадская,74,ГПЗ Дашман,44, Буферная зона
3,Джалал-Абадская,74,ГПЗ Дашман,264, Основная (ядро) зона
3,Джалал-Абадская,74,ГПЗ Дашман,38, Охранная зона
3,Джалал-Абадская,62,ГПЗ Падыша-Ата,,
3,Джалал-Абадская,62,ГПЗ Падыша-Ата,86, Буферная зона
3,Джалал-Абадская,62,ГПЗ Падыша-Ата,84, Основная (ядро) зона
3,Джалал-Абадская,62,ГПЗ Падыша-Ата,85, Охранная зона
3,Джалал-Абадская,76,ГПП Алатай,,
3,Джалал-Абадская,76,ГПП Алатай,212, Зона заповедного режима
3,Джалал-Абадская,76,ГПП Алатай,75, Зона ограниченной хозяйственной деятельности
3,Джалал-Абадская,76,ГПП Алатай,50, Зона туристической и рекреационной деятельности
3,Джалал-Абадская,76,ГПП Алатай,131, Зона экологической стабилизации
3,Джалал-Абадская,50,ГПП Кан-Ачуу,,
3,Джалал-Абадская,50,ГПП Кан-Ачуу,217, Зона заповедного режима
3,Джалал-Абадская,50,ГПП Кан-Ачуу,98, Зона ограниченной хозяйственной деятельности
3,Джалал-Абадская,50,ГПП Кан-Ачуу,152, Зона туристической и рекреационной деятельности
3,Джалал-Абадская,50,ГПП Кан-Ачуу,153, Зона экологической стабилизации
3,Джалал-Абадская,51,ГПП Кара-Буура,,
3,Джалал-Абадская,51,ГПП Кара-Буура,155, Зона заповедного режима
3,Джалал-Абадская,51,ГПП Кара-Буура,60, Зона ограниченной хозяйственной деятельности
3,Джалал-Абадская,51,ГПП Кара-Буура,159, Зона туристической и рекреационной деятельности
3,Джалал-Абадская,51,ГПП Кара-Буура,157, Зона экологической стабилизации
3,Джалал-Абадская,64,ГПП Саймалуу-Таш,,
3,Джалал-Абадская,64,ГПП Саймалуу-Таш,225, Зона заповедного режима
3,Джалал-Абадская,64,ГПП Саймалуу-Таш,183, Зона ограниченной хозяйственной деятельности
3,Джалал-Абадская,64,ГПП Саймалуу-Таш,182, Зона туристической и рекреационной деятельности
3,Джалал-Абадская,64,ГПП Саймалуу-Таш,181, Зона экологической стабилизации
3,Джалал-Абадская,40,Лесхоз Кабинский,,
3,Джалал-Абадская,40,Лесхоз Кабинский,13,Кабинское Лесничество
3,Джалал-Абадская,40,Лесхоз Кабинский,14,Уч-Булакское Лесничество
4,Иссык-Кульская,,,,
4,Иссык-Кульская,59,ГПЗ Иссык-Куль,,
4,Иссык-Кульская,59,ГПЗ Иссык-Куль,62, Основная (ядро) зона
4,Иссык-Кульская,61,ГПЗ Сарычат-Ээрташ,,
4,Иссык-Кульская,61,ГПЗ Сарычат-Ээрташ,93, Буферная зона
4,Иссык-Кульская,61,ГПЗ Сарычат-Ээрташ,165, Основная (ядро) зона
4,Иссык-Кульская,61,ГПЗ Сарычат-Ээрташ,94, Охранная зона
4,Иссык-Кульская,17,ГПП Каракол,,
4,Иссык-Кульская,17,ГПП Каракол,221, Зона заповедного режима
4,Иссык-Кульская,17,ГПП Каракол,167, Зона ограниченной хозяйственной деятельности
4,Иссык-Кульская,17,ГПП Каракол,166, Зона туристической и рекреационной деятельности
4,Иссык-Кульская,17,ГПП Каракол,163, Зона экологической стабилизации
4,Иссык-Кульская,77,ГПП Хан-Тенири,,
4,Иссык-Кульская,77,ГПП Хан-Тенири,207, Зона заповедного режима
4,Иссык-Кульская,77,ГПП Хан-Тенири,63, Зона ограниченной хозяйственной деятельности
4,Иссык-Кульская,77,ГПП Хан-Тенири,74, Зона туристической и рекреационной деятельности
4,Иссык-Кульская,77,ГПП Хан-Тенири,73, Зона экологической стабилизации
4,Иссык-Кульская,14,Лесхоз Каракольский,,
4,Иссык-Кульская,14,Лесхоз Каракольский,16,Боз-Учукское Лесничество
4,Иссык-Кульская,14,Лесхоз Каракольский,19,Жергаланское лесничество
4,Иссык-Кульская,14,Лесхоз Каракольский,15,Жергезское Лесничество
4,Иссык-Кульская,14,Лесхоз Каракольский,20,Сары-Жазское лесничество
4,Иссык-Кульская,14,Лесхоз Каракольский,17,Тургенское лесничество
4,Иссык-Кульская,14,Лесхоз Каракольский,18,Шахтинское лесничество
5,Чуйская,,,,
5,Чуйская,8,ГПП Ала-Арча,,
5,Чуйская,8,ГПП Ала-Арча,121, Зона заповедного режима
